351522647777083392***,***senores la bachelet no tiene pilin por lo tanto. orrego no es chupapic es un chup..... ajajaajaj
351512305789440001***,***escucho a longueira y me acuerdo de kramer chechecheche jajkakajjjajaka
351502159390588929***,***lo dijeeeeeee eran palos blancos lo dijeee
351501675435008001***,***segun el twiter a ganado la VIEJA POLITICA ... vamos por la nueva @Fr_parisi presidente
351500730118569986***,***@meguiguren @Rumpy1000 la vieja politica es la Bachelet???
351499715923296256***,***para robar dices tu???@copano
351499484116692992***,***CONSUELO para VELASCO jajajaja
351498978182959106***,***solo palos blancos en el dia de Hoy .... VAMOS @Fr_parisi Predidente
347050763551375360***,***@intrusoslared a mi no me molesta que @FelipeAvello coma x que yo como viendolos jajajs y la conti se hace la w.. Come pa calla
343039919104618496***,***EDUCACION GRATIS OK¡¡¡ ... Y SI FUESE ASI.  LOS FUTUROS ABOGADOS, DOCTORES ATENDERAN GRATIS???? A LOS MAS POBRES???
340848146534002688***,***QUE HORRIBLE MUERTE MATARLA Y DESPUES QUEMARLA .. MALDITO ASESINO .. DESCANSA EN PAZ VANESSA GALVEZ QUE DIOS TE RECIBA CON EL TODO EL AMOR
322902096670228481***,***jakjakja http://t.co/5xQGcmWiCu
321300195109400578***,***@Karol_LuceroV DEMASIADO AUTOREFERENTE .. UN POQUITO DE HUMILDAD NO TE CONOZCO PERO FRENTE A LA PANTALLA ESO SE REFLEJA.
321284826005114880***,***Escuchando al gran BOB MARLEY ENROLANDO SUS CANCIONES JIJIJI
321277481921429504***,***Quique Neira - Yo Planto (con Alborosie: http://t.co/EeBEd4vQzF via @youtube solo 7 plantitas.... cultiva tu mente y la tierra
312642217539956738***,***@josemvinuela fuerza lindo¡¡¡
312641352640909312***,***@bomberos_antof es verdad que estan solicitando dinero atraves de telefono .. me acaban de llamar y me dicen que tengo que depositar en cte.
311950953756651520***,***JKAJAJAJAJAA SE REALIZO LA PROFECIA  http://t.co/8SQ8eGwBYB via @youtube
306583655252377600***,***YA VEO SE FUMA SU CANO CON ESA PINTA TAN HIPPIE KJAKJAKAJ
306583478965788673***,***no me puedo concentrar con la pinta de BOSE ... SE LA ROBO A FLOP JKAJAKJA
302516787495464963***,***RT @magnitudCL: [SUCh|preliminar] Magnitud 3.0 el 15/Feb a las 17:27:56 en ANTOFAGASTA (a 37.3km al SO de Ollague) a 117km de prof: http ...
302513063641374720***,***Matias Vega 30grs de Marihuana puede recibir 10 anos de carcel EL SOBRINO DE HERNAN LARRAIN SALIO LIBRE AL TOQUE http://t.co/4oniAYIY
302512038394093568***,***RT @TiernasdeSteffi: definitivamente twitter nos marco como spam #SteffiMendezReinaVina2013 :/
301800916628152320***,***FELIZ CUMPLEANO QUERIDA ANTOFAGASTA DE MI AMOR CIUDAD MAS BELLA http://t.co/Ek1OpOrs via @youtube
273205578908717056***,***ESTE ES MI GATO PUNTO , LE SAQUE ESTA FOTO MIENTRAS BOSTEZABA.. REALMENTE ES UN ACIERTO FOTOGRAFICO OJO CON SU LENGUA http://t.co/uJ3h1mCG
273204538490638336***,***CREO QUE LAS ENTRADAS AL ESTADIO NACIONAL EN LA FINAL  DE LA TELETON TENDRIAN QUE TENER UN PRECIO SE JUNTARIA VARIAS LUKAS MAS : )
273204005491073026***,***ANTOFAGASTA DE MI AMOR QUE TIENES QUE VIENEN LOS PERUANOS , BOLIVIANOS, COLOMBIANOS Y AHORA ESPANOLES ..A POBLARNOS JURO QUE NO ES XENOFOBIA
272555861577183232***,***@josemvinuela TODO EL RATO X TI .. ME ENCANTAS¡¡¡¡
272555752881795072***,***RT @josemvinuela: Amigos les agradeceria si quieren votar por mi para el Copihue de Oro por mensaje de texto Sms opcion 1 jose miguel vi ...
272554335139938304***,***QUE ESTUPIDES JAIME ROMAN Y MANZUR A CARCEL CAPITAN YABER ESA CARCEL ES UN RESORT PAGADO POR EL PODER CADA UNO TIENE UN GOMA QUE LE SIRVE
272554164960256000***,***VIENDO LOS 81
263686431636090880***,***que tristeza se veia muy buena persona... DIOS TE ACOJA EN SU REINO GUSTAVO SANCHEZ
245632393715785728***,***ME FUI
245631944107360256***,***Y MAS ENCIMA AQUI EN ANTOFA ESTA PLAGAO DE COLOMBIANOS NO QUIERO IR AL CENTRO AHORA.. PAPI
245631643610664960***,***XAO JUGARON COMO NUNKA PERDIERON COMO SIEMPRE ,,, CTM
245627534706888704***,***CUEKKKKKKKKKKKKKKKK YA NO QUIERO BANDEJA PAISA¡¡¡¡¡¡¡¡¡¡
245619259764535296***,***si gana chile me como 2 bandejas paisa con una docena de bunuelos jajajaj
245618052778057729***,***perdonnnn mati no te tenia inguna fe jajajaja
245617783449210882***,***gooooooooooooooooooooolllllllllllllllllllllllllllllllllllll ctm... soy chilenaaaaaaaaaaaaa no colombianaaaaaaaaaaaa
245617413167652867***,***aaaaaaa no se si gritar x chile o x colombia si total aqui en antofagasta hay mas colombianos que chileno.. que hagoooooo jajajajajaa
244537581608513537***,***#FuerzaBenjayPampita DIOS DE TRANQUILIDA Y CONSUELO.. SOY MADRE DE UN NINO DE 6 ANOS Y ES MUY TRISTE.. http://t.co/Ul83wTsj
244536232858767361***,***Dentro de lo terrible que es la muerte de una nina, lo rescatable son las muestras de amor que deja su partida. BENDICIONES
242784808659464192***,***@benjavicunaMORI DIOS LES BENDIGA Y LES DE AMOR Y SANIDAD QUE TU PRINCESITA NECESITA MIL BENDICIONES ♥
242783460513681408***,***@pampitaoficial MIL BENDICIONES♥ QUE DIOS LLENE DE AMOR Y SANIDAD A TU HIJITA.. SOLO LA MANO  DE DIOS TIENE EL PODER DE SANIDAD
239798497942069248***,***YA CHIQUILLOS SE  ACERCAN LAS ELECCIONES Top Tracks for Ska-P (lista de reproduccion): http://t.co/9Ul4tPzj via @youtube
232652234859614208***,***@lilianagebel ojalas la pedan leer y no la tegan solo abierta en sus hogares y sobre todo compartir la palabra con sus familia : )
232651756553768960***,***http://t.co/gLzr2fAG
203487581277659139***,***@josemvinuela uno de los cantantes es igualito a ti Il Divo - Adagio: http://t.co/KAdeZR3k via @youtube
203486354892533760***,***Il Divo - Adagio: http://t.co/KAdeZR3k via @youtube
193179264194052097***,***proxima semana vuelve a ganar roca la inmunidad contra la paz y la competencia grupal la gana eternia. k les duro poco a los chico de cronos
190122523504017408***,***@difamadores LA DESIGUALDAD SOCIAL ES MAS VIOLENTA.... QUE CUALQUIER PROTESTA SENORES DIPUTADOS Y SENADORES¡¡¡¡¡¡¡¡¡
190121417679966208***,***LA DESIGUALDAD SOCIAL ES MAS VIOLENTA.... QUE CUALQUIER  PROTESTA SENORES DIPUTADOS Y SENADORES¡¡¡¡¡¡¡¡¡
190121070391590914***,***SENORES SENADORES Y DIPUTADOS http://t.co/oeVMwKgd
181529728862265344***,***quiero ver a michael bubble eso es lo fome de vivivr en regiones snif snif
181520131384545280***,***Michelle Carvalho fue detenida por la PDI por no portar su visa de trabajo  #michellecarvalho http://t.co/yiPpUZeF via @soyantofagasta
168517394346684416***,***@andresbaile solo que todos sepan que tenemos un festival que dura 3 dias con buenos artitas y gratis y 1 mes de actividades gratis,,
168510888100364288***,***VICENTICO, fito paez , TONY SVELTH etc,, en el 133 aniversario de mi linda antofagasta Y GRATISSSSSS COMO SIEMPRE
168510253267300352***,***@Siliconvalle kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168510136070057985***,***@giancarlopeta kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168510035574525952***,***@PANCHOSAAVEDRA kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509844297498625***,***@renenaranjo kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509734289276929***,***@danielexhuevo kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509635106574337***,***@copano kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509534380359680***,***@fuentesilva kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509441258430466***,***@chico_perez kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168509187448520704***,***@andresbaile kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA  con sergio lagos y nikol.GRATIS
168508915275935744***,***@JPQueralto kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFAGASTA con sergio lagos y nikol
168508283571806209***,***kc and the sunshine band, dinamita show y villa carino 1 noxe de festival GRATIS EN ANTOFA con la animacion de sergio lagos y nikol.GRATIS
162742289783996416***,***@danielexhuevo PUENTE ALTO
162741246446678016***,***mark antony, fito paez etc,, en el 133 aniversario de mi linda antofagasta  Y GRATISSSSSS COMO SIEMPRE
162740339755589634***,***me siento mal por haberme burlado de Ines Perez .SI  EN ALGO REMEDIA  MI ERROR PIDO PERDON.. ME DEJE LLEVAR POR LA MASA .. PERDON
159996902832734209***,***Tanto revuelo causo la senora que se estaciono en el lugar de minusvalidos .. esto si que es peor mirenlo http://t.co/ZTJXSldN
159996518303145984***,***#chileamedias y quien side algo de esto que es peorrrrr http://t.co/GM8dRJLj
159082718745993216***,***@pedroruminot http://t.co/0TWSJ3Jv via @youtube
159081945295355904***,***perdon pero me rei tanto q debo compartirlo se que no hay q alimentar la violencia pero seamos honesto http://t.co/0TWSJ3Jv via @youtube
155751809363869696***,***@PlandevueloCL  PERO HAY QUE PAGAR.. EN CAMBIO EN EL DE ANTOFAGASTA ES GRATISSSS Y LLEVA MAS DE 30 ANOS CELEBRANDOSE AHORA VIENE MARC ANTONY
155751165030707200***,***MARC ANTONY EN FESTIVAL DE ANIVERSARIO DE ANTOFA NADA Q ENVIDIAR AL DE IQQE. Y SOBRE TODO GRATIS. ES UN FESTIVAL QUE SE REALIZA MUXOS ANOS
155746766191468544***,***@FrutoTVN  ESTA NINA PERUANA  ES UNA GRAN REVELACION CANTA HERMOSISIMO .. DEBERIAN TRAERLA A CHILE
155746231254134784***,***TANIA CIRILO - CUANDO LLORA MI GUITARRA http://t.co/714X7HER via @youtube QUEDE ENAMORADA DE LA VOZ DE ESTA NINA PERUANA CANTA HERMOSOOOOOOO
