670271565263712256***,***RT @soychilecl: Presidente de San Marcos por Sergio Jadue: "Me llamo desde Miami amenzandome con las penas del infierno"https://t.co/CXROL…
670270181063712770***,***RT @soychilecl: Nadie esta comprando el Viagra femeninohttps://t.co/Z9GVscHzdf https://t.co/1rjnO67qQz
670267334695788548***,***RT @soychilecl: Presidente de San Marcos denuncio que Jadue lo amenazo desde Miamihttps://t.co/CXROL6uyln https://t.co/R0XwoLSjCj
670266832113283073***,***RT @soychilecl: [VIDEO] Jovino Novoa llego en silencio a su juicio abreviado por el caso Pentahttps://t.co/aZigVpXUFq https://t.co/iCo9XuF…
670265872678825985***,***RT @soychilecl: La nueva tendencia de moda entre las famosas es ridiculamente facil de repetir en casahttps://t.co/ug8hp8DPvI https://t.co…
670264051377786880***,***RT @soyiquique: [VIDEO] La brutal golpiza a un hombre que habria estado abusando de una nina de 3 anos en Alto Hospiciohttps://t.co/oeOsMD…
670263932309798912***,***Realizaron simulacro de incendio en la carcel de San Antonio https://t.co/n1BsWVTKWB
670263484958048261***,***RT @soychilecl: Manual del Minsal recomienda suspender la lactancia solo un dia en caso de haber fumado marihuanahttps://t.co/mmpZ2kXODS
670263088961163266***,***RT @soychilecl: Gobierno a Pinera: "Si esta diciendo que va a quitar beneficios a los chilenos, seria una mala noticia"https://t.co/OK9TTG…
670260319453745152***,***Extraditaran al sanantonino detenido en Argentina por abuso sexual infantil https://t.co/oqXOzurz1D
670256629128912897***,***Extraditaran a sanantonino detenido en Argentina por abuso sexual infantil https://t.co/oqXOzurz1D
670251401050759168***,***RT @soychilecl: Miguel Nasur no descarto candidatura a la ANFP: "Nadie se puede negar a sacar el futbol chileno adelante"https://t.co/mLtP…
670249734825754624***,***RT @soychilecl: Presidente de la CPC por colusion: “En nuestra sociedad ha fallado un tema personal de etica”https://t.co/PKclflNcrU
670249375029948416***,***RT @soychilecl: Por fin se juntaron los actores de Carrusel tras 26 anoshttps://t.co/Qf7ee57EcT https://t.co/9lN5FaPjm8
670248391583076356***,***RT @soychilecl: Siguenos en nuestra cuenta de Instagram y maravillate con las mejores imagenes de Chile https://t.co/8luSA4Q6kf https://t.c…
670245962384867328***,***RT @soyarica: Investigacion detecto importantes propiedades anticancerigenas en yerba usada en el altiplano https://t.co/EfMhkwpvzS
670245402982092800***,***RT @soychilecl: Los memes que dejo el divertido comentario de Yann Ivin en MasterChefhttps://t.co/NacSpeWQIc https://t.co/zt4kGDICxR
670245235759316992***,***Un accidente dejo a cuatro personas lesionadas en San Antonio https://t.co/7h7Wb7nrnn
670244504436346880***,***RT @soyquillota: Entraron a robar al Registro Civil de Quillota y se llevaron cerca de $300 mil https://t.co/zkGZhUhTiF
670242895136473088***,***RT @soychilecl: Trabajadores publicos: "La relacion que se habia establecido con el Gobierno ha sufrido un quiebre”https://t.co/CZYWspqdFz
670241473292402688***,***Bomberos de El Quisco realizaran una “lavaton” para cooperar con la Teleton https://t.co/Xc9SghEFSO
670240648725962752***,***Bomberos de El Quisco realizaran una “lavaton” para cooperar con la Teletonhttps://t.co/2ZrXWF1EWW
670239618672033792***,***RT @soychilecl: Parasito en Bolivia esta haciendo que las mujeres de la zona se embaracen mashttps://t.co/PGH0LPd9AL https://t.co/aXwDQsc8…
670236329544929280***,***RT @soychilecl: Kramer lanzo video protagonizado por Luis Jara y Don Francisco para promocionar la Teletonhttps://t.co/jMASgzQ2vs https://…
